"DATAID","ASSIGNMENT","STRING","STRING","STRING","STRING","STRING","STRING","STRING","TARGET","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT"
"DATAID","ASSIGNMENT","Compound Group","CG2","Compound","SMILES","Formula","Source","Method","CN (Exp)","RotBFrac","TDB3s","MATS1e","VPC-4","ATSC2e","GATS1p","SPC-5","SHBint4","GATS7m","E3m","nwHBa","SpMax6_Bhp","SRW6","SP-6","AATS3e"
"41","T","Alcohols","","4-nonanol","CCCCCC(CCC)O","C9H20O","NREL (2014)","IQT","28","0.666666667","5.394597281","-0.071894868","0.182574186","-0.0164024","1.584716137","0.49279928","0","1.05090759","0.028214612","0","1.96419597","5.231108617","0.420630496","7.17911744"
"42","L","Aldehydes","","hexanal","CCCCCC=O","C6H12O","Marquardt (2015)","IQT","75.2","0.666666667","5.564231369","-0.002431532","0","-0.069866648","1.578834284","0","0","1.669521646","0.01924236","1","1.360241935","4.574710979","0.176776695","7.139265714"
"43","L","Aldehydes","","pentanal","CCCCC=O","C5H10O","NREL (2014)","IQT","65.1","0.6","5.977740685","-0.001605412","0","-0.06008425","1.594610489","0","0","0","0.017529075","1","0.424103116","4.343805422","0","7.180735152"
"44","V","Aldehydes","Cycloalkenes","3-cyclohexene-1-carboxaldehyde","C1CC(CC=C1)C=O","C7H10O","Marquardt (2015)","IQT","28.1","0.125","6.615992","5.51E-16","0.282117557","-0.110232148","1.21136129","0.594861352","0","0","0.042316549","3","1.21832481","5.342334252","0.348461713","7.22006913"
"45","T","Aldehydes","","isobutyraldehyde","CC(C)C=O","C4H8O","Marquardt (2015)","IQT","21.1","0.25","8.869077203","-0.000668832","0.136082763","-0.027508876","1.618280118","0","0","0","0.026944352","1","0.399277246","4.394449155","0","7.342293"
"46","L","Alkanes","","7-butyltridecane","CCCCCCC(CCCC)CCCCCC","C17H36 ","NREL (2014)","Unknown","36","0.8125","4.131282711","-0.040723982","0.433012702","-0.101939119","1.558823529","0.612372436","0","0.969453522","0.092426511","0","2.887303891","5.80814249","1.202104911","6.987211111"
"47","L","Alkanes","","2,7-dimethyl-4,5-diethyloctane","CCC(CC(C)C)C(CC)CC(C)C","C14H30","NREL (2014)","Unknown","39","0.538461538","4.68438166","-0.049833887","1.468592465","-0.007448","1.571428571","2.298204201","0","0.625661376","0.157432884","0","2.464466499","5.894402834","0.607122402","7.049229675"
"48","L","Alkanes","","9-methylheptadecane","CCCCCCCCC(C)CCCCCCCC","C18H38","NREL (2014)","Unknown","66","0.823529412","4.15103939","-0.038383838","0.40824829","-0.109747","1.555555556","0.433012702","0","0.964912281","0.032226736","0","2.882888491","5.84932478","1.136082326","6.987056105"
"49","L","Alkanes","","5-butyldodecane","CCCCCCCC(CCCC)CCCC","C16H34","NREL (2014)","Unknown","45","0.8","4.138135686","-0.043367347","0.433012702","-0.094143034","1.5625","0.612372436","0","0.934095861","0.090422919","0","2.712483611","5.746203191","1.11059856","6.987211111"
"50","L","Alkanes","","2,6,10-trimethyldodecane (aka farnesane)","CCC(C)CCCC(C)CCCC(C)C","C15H32","NREL (2014)","IQT","58.6","0.642857143","4.542873304","-0.046376812","1.189722705","-0.038929025","1.566666667","0.98559856","0","1.273905724","0.07437873","0","2.718632429","5.831882477","1.019165536","7.025227111"
